timestamp,dpid,packets_per_second
1716748535.4329052,1,313
1716748535.4329052,2,324
1716748535.4329052,3,312
1716748535.4329052,4,253
1716748535.4329052,5,263
1716748536.4338586,3,562
1716748536.4338586,2,556
1716748536.4338586,5,562
1716748536.4338586,1,555
1716748536.4338586,4,552
1716748537.4360375,1,451
1716748537.4360375,4,451
1716748537.4360375,3,452
1716748537.4360375,2,451
1716748537.4360375,5,451
1716748538.438021,1,640
1716748538.438021,4,634
1716748538.438021,3,634
1716748538.438021,2,634
1716748538.438021,5,636
1716748539.4404793,1,454
1716748539.4404793,4,454
1716748539.4404793,3,454
1716748539.4404793,2,454
1716748539.4404793,5,455
1716748540.4438365,1,613
1716748540.4438365,4,613
1716748540.4438365,3,613
1716748540.4438365,2,613
1716748540.4438365,5,613
1716748541.4446936,1,586
1716748541.4446936,4,586
1716748541.4446936,3,586
1716748541.4446936,2,583
1716748541.4446936,5,586
1716748542.4476063,1,577
1716748542.4476063,4,579
1716748542.4476063,3,576
1716748542.4476063,2,575
1716748542.4476063,5,577
1716748543.4517853,1,562
1716748543.4517853,4,561
1716748543.4517853,3,559
1716748543.4517853,2,559
1716748543.4517853,5,560
1716748544.4537313,1,415
1716748544.4537313,4,419
1716748544.4537313,3,414
1716748544.4537313,2,413
1716748544.4537313,5,412
1716748545.4595153,3,503
1716748545.4595153,2,504
1716748545.4595153,5,498
1716748545.4595153,1,502
1716748545.4595153,4,503
1716748546.4623647,1,448
1716748546.4623647,4,682
1716748546.4623647,3,678
1716748546.4623647,2,681
1716748546.4623647,5,234
1716748547.4634886,4,1014
1716748547.4634886,3,1006
1716748547.4634886,2,1005
1716748547.4634886,1,13
1716748547.4634886,5,4
1716748548.4649189,2,891
1716748548.4649189,4,889
1716748548.4649189,3,893
1716748548.4649189,1,3